Наименование товара,Цена товара,Ссылка на страницу с товаром
 Розумна лампа RZTK Smart LED Bulb RGB (SB10W-900) ,299 ₴,https://rozetka.com.ua/ua/rztk_sb10w_900/p337962823/
 Розумна LED стрічка Govee H6179 TV backlight (H61790A1) ,1 059 ₴,https://rozetka.com.ua/ua/376358220/p376358220/
" Розумна Wi-Fi лампа Shelly ""Duo RGBW GU10"" LED димірувана 5 Вт (3800235262313) ",679 ₴,https://rozetka.com.ua/ua/shelly-3800235262313/p415674369/
 Розумний кольоровий Wi-Fi прожектор TP-LINK Tapo L630 ,549 ₴,https://rozetka.com.ua/ua/tp-link-tapo-l630/p423090036/
 Розумна LED стрічка Govee H61A2 Neon Rope 5 м (H61A23D1) ,4 399 ₴,https://rozetka.com.ua/ua/376358232/p376358232/
 Смарт-лампочка Yeelight GU10 W1 Dimmable 1 шт (YLDP004) ,429 ₴,https://rozetka.com.ua/ua/377045244/p377045244/
 Торшер LEDVANCE SMART WIFI FLOOR ROUND RGB TW 14W 1170Lm 140см Чорний (4058075765191) ,2 778 ₴,https://bt.rozetka.com.ua/ua/ledvance-4058075765191/p377168721/
 Торшер Goldlux Magical Led 7W RGB IP20 (325211) ,1 900 ₴,https://bt.rozetka.com.ua/ua/goldlux-325211-plx/p430102025/
 Розумний торшер EUROLAMP RGBIC 10W 1100 Lm 120cм (Білий) ,1 499 ₴,https://bt.rozetka.com.ua/ua/eurolamp-led-fld-10wrgbw/p455544119/
 Торшер EUROLAMP N1 7W 5000K dimmable (LED-FLD1-7W(white)) ,1 589 ₴,https://bt.rozetka.com.ua/ua/eurolamp-led-fld1-7wwhite/p414737994/
 Торшер EUROLAMP N1 7W 5000K dimmable (LED-FLD1-7W(black) ,1 589 ₴,https://bt.rozetka.com.ua/ua/eurolamp-led-fld1-7wblack/p414726135/
 Розумна лампочка NOUS P4 (5907772033173) ,299 ₴,https://rozetka.com.ua/ua/nous_p4_5900852028694/p103104798/
" Стартовий комплект Philips Hue Color (Bridge, Dimmer, лампа E27 3 шт.) ",8 890 ₴,https://rozetka.com.ua/ua/philips-929002216825/p307960268/
 Торшер EUROLAMP LED SMART RGBIC 15W 1260 Lm 140cм (білий) ,2 559 ₴,https://bt.rozetka.com.ua/ua/eurolamp-led-fld-15wrgbw/p455755059/
